sked_id,home_initial
3385,cgy
3387,wpg
3389,cgy
3391,tor
3393,edm
3395,tor
3397,ham
3399,ssk
3401,ssk
3403,tor
3405,cgy
3407,orr
3409,bc
3411,wpg
3413,edm
3415,tor
3417,ssk
3419,edm
3421,wpg
3423,bc
3425,orr
3427,ham
3429,cgy
3431,orr
3433,bc
3435,tor
3437,ssk
3439,cgy
3441,wpg
3443,edm
3445,ham
3447,ssk
3449,bc
3451,tor
3453,cgy
3455,bc
3457,wpg
3459,orr
3461,ham
3463,tor
3465,cgy
3467,tor
3469,ssk
3471,ham
3473,wpg
3475,edm
3477,orr
3479,ssk
3481,cgy
3483,ham
3485,bc
3487,edm
3489,tor
3491,orr
3493,wpg
3495,cgy
3497,bc
3499,ham
3501,ssk
3503,wpg
3505,tor
3507,orr
3509,edm
3511,ham
3513,ssk
3515,orr
3517,ssk
3519,bc
3521,cgy
3523,tor
3525,edm
3527,cgy
3529,ham
3531,ssk
3533,edm
3535,tor
3537,orr
3539,wpg
3541,ssk
3543,bc
3545,ham
3547,wpg
3549,cgy
3551,tor
3553,bc
3555,orr
3557,edm
3559,tor
3561,cgy
3563,ham
3565,edm
3567,ssk
3569,edm
3571,bc
3573,orr
3575,tor
3577,ssk
3579,wpg
3581,cgy
3583,ham
3585,bc
3587,edm
3589,orr
3591,ham
3593,tor
3595,wpg
3597,bc
3599,ssk
3601,orr
3603,tor
3605,ssk
3607,cgy
3609,orr
3611,edm
3613,ham
3615,wpg
3617,cgy
3619,bc
3621,ham
3623,wpg
3625,tor
3627,orr
3629,edm
3631,ssk
3633,cgy
3635,bc
3637,ssk
3639,ham
3641,tor
3643,wpg
3645,orr
3647,edm
3649,ssk
3651,cgy
3653,ham
3655,bc
3657,tor
3659,cgy
3661,wpg
3663,edm
3665,bc
3667,wpg
3669,ham
3671,edm
3673,cgy
3675,orr
3677,tor
3679,ssk
3681,cgy
3683,ham
3685,wpg
3687,edm
3689,bc
3691,orr
3693,ssk
3695,wpg
3697,tor
3699,ham
3701,ssk
3703,cgy
3705,ham
3707,orr
3709,tor
3711,edm
3713,orr
3715,bc
3717,wpg
3719,cgy
3721,bc
3723,tor
3725,ssk
3727,edm
3729,wpg
3731,ssk
3733,tor
3735,edm
3737,wpg
3739,mtl
3741,ssk
3743,edm
3745,tor
3747,wpg
3749,orr
3751,cgy
3753,ham
3755,bc
3757,ssk
3759,tor
3761,orr
3763,edm
3765,bc
3767,cgy
3769,wpg
3771,ssk
3773,ham
3775,wpg
3777,orr
3779,ham
3781,cgy
3783,ham
3785,bc
3787,orr
3789,tor
3791,wpg
3793,bc
3795,ssk
3797,ham
3799,edm
3801,cgy
3803,tor
3805,wpg
3807,orr
3809,bc
3811,ham
3813,ssk
3815,cgy
3817,tor
3819,wpg
3821,edm
3823,edm
3825,ham
3827,bc
3829,ssk
3831,ham
3833,cgy
3835,orr
3837,edm
3839,wpg
3841,cgy
3843,edm
3845,tor
3847,bc
3849,orr
3851,ham
3853,ssk
3855,edm
3857,cgy
3859,tor
3861,wpg
3863,orr
3865,ham
3867,bc
3869,wpg
3871,tor
3873,bc
3875,ssk
3877,tor
3879,orr
3881,edm
3883,cgy
3885,ssk
3887,ham
3889,wpg
3891,edm
3893,cgy
3895,orr
3897,tor
3899,bc
3901,tor
3903,edm
3905,wpg
3907,bc
3909,edm
3911,mtl
3913,ssk
3915,wpg
3917,ham
3919,mtl
3921,cgy
3923,edm
3925,bc
3927,tor
3929,orr
3931,cgy
3933,tor
3935,bc
3937,orr
3939,ssk
3941,ham
3943,edm
3945,mtl
3947,wpg
3949,orr
3951,bc
3953,ham
3955,ssk
3957,tor
3959,edm
3961,cgy
3963,bc
3965,orr
3967,wpg
3969,ham
3971,ssk
3973,cgy
3975,mtl
3977,edm
3979,ssk
3981,mtl
3983,wpg
3985,tor
3987,bc
3989,cgy
3991,orr
3993,edm
3995,ham
3997,mtl
3999,bc
4001,wpg
4003,tor
4005,orr
4007,ssk
4009,cgy
4011,ham
4013,bc
4015,wpg
4017,tor
4019,edm
4021,cgy
4023,mtl
4025,tor
4027,ssk
4029,wpg
4031,bc
4033,orr
4035,ham
4037,edm
4039,orr
4041,tor
4043,ssk
4045,cgy
4047,ham
4049,mtl
4051,wpg
4053,edm
4055,ssk
4057,orr
4059,cgy
