playerid,touchdowns,points,fumbles,first,last,team,height,weight,birthdate,birthplace,position
4265,2,12,0,Dobson,Collins,Montreal Alouettes,6.02,185,31970,"Stone Mountain, GA",WR
4269,0,0,0,Henoc,Muamba,Calgary Stampeders,6,230,32562,"Kinshasa, CG",DT
4283,0,0,0,Eddie ,Russ,NULL,6,185,31856,"Marianna, FL",OG
4285,0,0,0,Chris,Greaves,Winnipeg Blue Bombers,6.05,309,31785,"Toronto, ON",DB
4287,0,0,0,Marcellus,Bowman,Calgary Stampeders,6.03,228,31697,"Girard, OH",QB
4293,0,0,0,Brandon,Isaac,Toronto Argonauts,6.03,203,31027,"Blackville, SC",WR
4299,0,0,0,Andre,Caroll,Calgary Stampeders,6.02,287,32392,"Edison, NJ",QB
4301,0,0,0,Gregory,Alexandre,Edmonton Eskimos,6.02,277,31198,"Montreal, QC",QB
4311,1,6,0,Dee,Webb,Calgary Stampeders,5.11,200,31024,"Jacksonville, FL",DB
4313,4,24,1,Chad,Kackert,Toronto Argonauts,5.08,206,31670,"Simi Valley, CA",WR
4319,4,24,4,Brandon,Whitaker,Toronto Argonauts,5.1,200,31297,"Edmond, OK",QB
4325,3,18,1,Rory,Kohlert,Winnipeg Blue Bombers,6.02,213,32149,"Regina, SK",WR
4327,0,0,0,Youssy,Pierre,Calgary Stampeders,6,185,31267,"Montreal, QC",RB
4345,0,269,0,Justin,Medlock,Hamilton Tigercats,6,208,30612,"Fremont, CA",DB
4351,1,6,0,Carlos,Thomas,NULL,5.11,195,31898,"College Park, GA",OL
4353,0,200,2,Hugh ,O'Neill,Hamilton Tigercats,6.02,185,32893,"Edmonton, AB",WR
